,id
379,6826853795180449029
380,6826842634737192198
381,6826800027633978630
382,6826792911821114630
383,6826790168876354821
384,6826753794060176646
385,6826752446535077126
386,6826672949983022342
387,6826500777108983046
388,6826498284471848198
389,6827208875100491013
390,6827186702163938565
391,6827170512528100613
392,6827125270160346373
393,6827074991398391046
394,6827589344459607302
395,6827588960131337477
396,6827549621133298950
397,6827489763071757573
398,6827456244668796165
399,6827449578132966662
400,6827433308742225157
401,6827277704874757381
402,6827257824821759237
403,6827951319546957062
404,6827883839122050309
405,6827876911956413701
406,6827871943262342406
407,6827868254942416134
408,6827839644869152006
409,6827624401073229062
410,6828277993056603397
411,6828239008976375046
412,6828222130077912326
413,6828218893870386438
414,6828214640112061701
415,6828192765227158790
416,6828167178710158598
417,6827990407566101765
418,6827986884849896709
419,6827981760652004614
420,6828696420518726917
421,6828651949185879302
422,6828631073363070214
423,6828608120806231301
424,6828589885721545990
425,6828536955698007301
426,6829075854866304261
427,6828974938066586885
428,6828963787383639302
429,6828960153027595526
430,6828960086497578246
431,6828912802581826822
432,6829449905694690565
433,6829445339674610950
434,6829373203484298502
435,6829340390294850822
436,6829303049857649926
437,6829301692111113478
438,6829287730602626310
439,6829109969326001414
440,6829109518564150533
441,6829090833275358470
442,6829818220984175877
443,6829806504971963654
444,6829784580246031621
445,6829770105140825350
446,6829746617860492549
447,6829735456100404485
448,6829670651461176582
449,6829569860419308806
450,6830175034162580741
451,6830114923532668166
452,6829827146727345414
453,6830480904197082374
454,6830441185383861510
455,6830438574907739398
456,6830421860878912773
457,6830404745547566341
458,6830250220958354694
459,6830246001392061701
460,6830198965179387142
461,6830934084735274246
462,6830595722052750598
463,6831297440490982662
464,6831258817276185861
465,6831238576840248582
466,6831199114294725893
467,6831185751883959558
468,6831168574179052805
469,6831132139635887366
470,6831040822897560837
471,6830951154462117126
472,6830937332888227077
473,6831662213686693126
474,6831637142091992326
475,6831633204139691270
476,6831626188511825158
477,6831613902380518662
478,6831598577408593158
479,6831586804471254277
480,6831545438785621253
481,6831540046445759750
482,6831511283448237318
483,6831308149606059270
484,6832002005033078022
485,6831991094364867846
486,6831988415291018502
487,6831986522363890950
488,6831974775246687493
489,6831971946096381189
490,6831963952608578822
491,6831944191656856837
492,6831926767024999685
493,6831907443430149381
494,6831900813544279301
495,6831717319371148550
496,6831689069597183238
497,6831684177923001605
498,6831683012988620038
499,6832366987063217413
500,6832300924858273030
501,6832291769200299270
502,6832290322156965125
503,6832175302827969798
504,6832093765537221893
505,6832061784405314822
506,6832727780984196357
507,6832712422336285958
508,6832712269734874373
509,6832701138782014726
510,6832689926732008710
511,6832449301050969349
512,6832441863543246086
513,6832439936818482437
514,6833153733048700165
515,6833147015711460614
516,6833143259053837574
517,6833107966942596358
518,6833077908962151685
519,6833070058789424389
520,6833027218042539270
521,6832835185734683909
522,6833482991256308997
523,6833351808224873734
524,6833204883949194502
525,6833895837010087174
526,6833862675865406725
527,6833814036174474502
528,6833740476500167942
529,6833568031990385925
530,6834211082278571269
531,6834168389280337158
532,6834570028839456005
533,6834339710421306629
534,6834913093106044165
535,6834726086748818694
536,6834699858926914821
537,6834651971761261830
538,6835317470555917574
539,6835284873478032645
540,6835283785483816197
541,6835086764122606853
542,6835060219526057222
543,6835033119221927173
544,6835662698705947910
545,6835625791137565957
546,6835622383043349765
547,6835448492530437382
548,6835447664348335366
549,6835422282731556102
550,6835396616233438470
551,6836075934471277830
552,6836061977249385733
553,6836008725434649861
554,6835982933245938950
555,6835821921515474181
556,6835804521017380101
557,6836492698703105286
558,6836433049371069702
559,6836431528805829894
560,6836403263840079110
561,6836370824660847877
562,6836356529499770118
